,0,2000,4000,6000,8000,10000
0,,0.0,0.0,0.0,0.0,0.0
2000,,,0.14516129032258066,0.09523809523809523,0.09433962264150944,0.05
4000,,,,0.2619047619047619,0.33962264150943394,0.35
6000,,,,,0.2641509433962264,0.3
8000,,,,,,0.6
10000,,,,,,
