,0,2000,4000,6000,8000,10000
0,,0.0,0.0,0.0,0.0,0.0
2000,,,0.20812182741116753,0.15859030837004406,0.1330049261083744,0.11052631578947368
4000,,,,0.5066079295154186,0.4482758620689655,0.3736842105263158
6000,,,,,0.6896551724137931,0.6894736842105263
8000,,,,,,0.7263157894736842
10000,,,,,,
